build_id,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,required_outputs,calculation_status,binding_energy_definition
002121ae5677,Pr,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/conformer_sibling/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_002121ae5677_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
ec68ed441941,Eu,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/no_xyz_uff/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_ec68ed441941_attempt01_uff_xtb_no_preopt.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
1a0470dc9c6f,Eu,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_1a0470dc9c6f_attempt02_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
eb62218d1b12,Eu,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_eb62218d1b12_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
da66a3b16f13,Eu,3,,9,3,nitrate,,,data/processed/geometries_family_regenerated/template_amide_core/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_da66a3b16f13_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
d08732a72754,Lu,3,,8,2,water,,,data/processed/geometries_family_regenerated/template_amide_core/accepted/Lu/Lu_Z71_ox3_CN8_nlig2_water_d08732a72754_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
2b190032c56e,Dy,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_aminopolycarboxylate/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2b190032c56e_attempt01_standard.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
767120592b2e,Ce,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ce/Ce_Z58_ox3_CN9_nlig1_water_767120592b2e_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
2a517d56ff41,Dy,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_2a517d56ff41_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
ae268fc436f5,Dy,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Dy/Dy_Z66_ox3_CN8_nlig1_water_ae268fc436f5_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
07e48b9adbd1,Er,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_nitrate_07e48b9adbd1_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
99b569fa6f64,Er,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Er/Er_Z68_ox3_CN8_nlig1_water_99b569fa6f64_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
5355a09ac181,Eu,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_5355a09ac181_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
37a7e6578c98,Gd,3,,9,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Gd/Gd_Z64_ox3_CN9_nlig1_water_37a7e6578c98_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
75c4380e37c9,Ho,3,,8,1,nitrate,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_75c4380e37c9_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
45a08ce57e6e,Ho,3,,8,1,water,,,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_45a08ce57e6e_attempt01_large_ligand_fast.xyz,binding_energy_eV;strain_energy_eV;homo_eV;lumo_eV;homo_lumo_gap_eV,not_run_requires_reference_xtb,E_complex-(E_Ln_ion+n_ligs*E_free_ligand+n_fill*E_free_fill); all references must use the same xTB method/charge convention
