SMILES_FOR_ARCHITECTOR,n_metals,n_coord_modes,metals,n_rows
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,4,1,"Dy,Eu,La,Nd",8
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",9
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,5,1,"Dy,Eu,Gd,Nd,Sm",6
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,11,1,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Sm,Tb,Yb",14
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,3,1,"Er,Eu,La",3
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,10,1,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Pr,Tm",10
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,3,1,"Eu,La,Yb",3
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",15
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCN(CC)C(=O)COCC(=O)N(CC)CC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb",13
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb",13
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",16
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,8,1,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm",8
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,8,1,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm",8
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2,1,"Eu,La",4
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,5,1,"Ce,Er,Eu,La,Pr",5
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,5,1,"Ce,Er,Eu,La,Pr",7
