smiles_for_architector_used,n_metals,n_rows,n_core_sigs,qc_bad,qc_borderline,qc_ok,max_core_dist,min_gap,metals,core_sigs
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,11,2,1,1,9,3.1809877468383023,0.8198905422086886,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Tm,O8;O9
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,7,7,1,1,1,5,3.102790005571864,1.2691336080507891,Ce;Eu;Gd;La;Nd;Pr;Sm,O9
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,2,1,1,1,0,3.209789478044,0.5875924197127258,Eu,"N2,O7"
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,2,1,1,1,0,3.2565928018949366,0.9463708866560934,Eu,"N3,O6"
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1,2,1,1,1,0,3.3184670952195954,1.252038749719651,Eu,"N3,O6"
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,1,2,1,1,1,0,3.109754572999494,0.6456581057758175,Eu,O9
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1,2,1,1,1,0,3.286335532174131,0.634572989190636,Eu,"O3,S6"
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,1,2,1,1,0,1,4.2086189544039,0.857160382181521,Eu,"N6,O3"
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1,2,2,1,0,1,4.1662483142563165,0.1854027103223741,Eu,"N1,O8;O9"
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,1,2,1,1,0,1,3.234962756274093,1.2553543965292842,Eu,O9
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,1,2,1,1,0,1,3.368212734086434,1.1184779155592857,Eu,"N3,O6"
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,1,2,1,1,0,1,3.308983939625819,0.1142284225322094,Eu,"N3,O6"
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1,2,1,1,0,1,3.110646299753369,1.0949248845640325,Eu,O9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,1,2,1,1,0,1,3.1232870282265783,1.0148898694477562,Eu,O9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,1,2,2,1,0,1,3.6774287103498393,0.5984142993956896,Eu,"N1,O8;O9"
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,1,2,2,1,0,1,3.2886847718586787,0.0938597880413665,Eu,"O8,P1;O9"
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,1,2,2,1,0,1,3.111376718262015,0.1243634383432277,Eu,"N1,O7,S1;O7,S2"
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,1,1,1,1,0,0,3.2666625793625217,0.1581147590225113,Eu,"N5,O4"
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1,1,1,1,0,0,3.7039738019814,,Eu,"N8,O1"
