smiles_for_architector_used,n_metals,n_rows,n_shell_modes,cn_min,cn_max,max_dist,metals,shell_modes
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,14,15,4,7,9,3.156043659568312,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O7 || O8 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,9,9,3,7,9,3.159943793007274,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O7 || O8 || O9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,5,5,2,8,9,2.887916079279309,"Ce,Eu,Ho,Nd,Pr",O8 || O9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,28,4,7,9,3.116939943256204,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O7 || O8 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,14,2,8,9,3.0157494483876643,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O8 || O9
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,14,3,8,9,3.000552770070085,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O8 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,13,13,3,7,9,3.147939969558773,"Ce,Dy,Er,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O7 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,10,10,3,8,9,3.1810730820086577,"Ce,Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Yb","N1,O8 || O8 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,14,4,7,9,3.1947929849822256,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || O7 || O8 || O9"
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,14,24,2,8,9,3.0994200528473006,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N4,O4 || N4,O5"
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,14,14,4,6,9,3.1638045077674435,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",O6 || O7 || O8 || O9
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],14,28,5,8,11,3.1969246485781477,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","N1,O8 || N2,O8,P1 || N2,O9 || O8 || O9"
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,9,9,2,8,9,2.940103759665691,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",O8 || O9
