enabled,build_id,geometry_key,ligType,DENTATE,COORDLIST,DONOR_TYPES,SMILES_FOR_ARCHITECTOR,metal_symbol,coreCN,n_ligs,inner_sphere_anion,note
1,e5b3e79347b5,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Eu,9,1,nitrate,family template replan: large_rigid_filtered_4dent
1,1e38ddd02002,,tetra_planar_bent,4,"[12, 22, 23, 30]","[""O(ether)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,Eu,9,2,nitrate,family template replan: filtered_donor_pocket_4dent
1,810d12deae71,,tetra_planar_bent,4,"[18, 30, 48, 51]","[""S(donor)"", ""S(donor)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,Eu,9,1,nitrate,family template replan: filtered_donor_pocket_4dent
1,066e131bab03,,tetra_planar_bent,4,"[17, 30, 31, 34]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,35e0c00b8a88,,tetra_planar_bent,4,"[22, 35, 38, 39]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,aa3c3491a89d,,tri_mer_bent,3,"[5, 13, 24]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Eu,9,3,nitrate,family template replan: BTP_like_N3
1,3e5d617998e4,,bi_cis_chelating,2,"[0, 3]","[""O(carbonyl)"", ""O(hydroxyl)""]",O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Eu,9,2,nitrate,family template replan: flavonol_3OH_4oxo_bidentate
1,bfb8463109f9,,tetra_planar_bent,4,"[4, 19, 26, 29]","[""O(ether)"", ""O(ether)"", ""N(aromatic)"", ""N(aromatic)""]",CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,Eu,9,2,nitrate,family template replan: phosphoryl_thiophosphoryl_4dent
1,c471d9bdf233,,tetra_planar_bent,4,"[7, 20, 33, 34]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,99c2c5354425,,tetra_planar_bent,4,"[21, 33, 34, 35]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,644790613fc3,,hexa_octahedral,6,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,Eu,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,82898fce9546,,tetra_planar_bent,4,"[8, 12, 18, 19]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,Eu,9,2,nitrate,family template replan: filtered_donor_pocket_4dent
1,0eb858552e51,,tri_mer_bent,3,"[32, 33, 34]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,Eu,9,3,nitrate,family template replan: PyTri_like_N3
1,edbaf992f7bf,,tetra_planar_bent,4,"[7, 15, 16, 17]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,Eu,9,2,nitrate,family template replan: filtered_donor_pocket_4dent
1,e0774a1f16ed,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,19c18e2bf872,,tetra_planar_bent,4,"[11, 24, 25, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,9,1,water,family template replan: BTBP_BTPhen_like_N4
1,9144cf676175,,penta_planar_bent,5,"[27, 40, 41, 42, 43]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,Eu,9,1,water,family template replan: BTTP_like_N5
1,d183c84956a2,,bi_cis_chelating,2,"[6, 9]","[""S(donor)"", ""S(donor)""]",CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,Eu,9,4,water,family template replan: phosphoryl_thiophosphoryl_2dent
1,37dcfb7d60f1,,tetra_planar_bent,4,"[22, 35, 38, 39]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,Eu,9,1,water,family template replan: BTBP_BTPhen_like_N4
1,150992a2339b,,tri_mer_bent,3,"[32, 33, 34]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,Eu,9,3,water,family template replan: PyTri_like_N3
