family,descriptor,n_loose,fit_r2_loose,n_tight,fit_r2_tight,block,delta
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_02,5,0.6540219168971335,5,0.5089303296315959,g6,-0.1450915872655376
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_03,5,0.6745087032185789,5,0.49092280909614205,g6,-0.18358589412243687
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_04,5,0.7126137301138926,5,0.48743120158421616,g6,-0.22518252852967646
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_05,5,0.7588042325189821,5,0.5063431104442853,g6,-0.25246112207469684
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_06,5,0.7662860869663056,5,0.560556211876303,g6,-0.20572987509000262
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_07,5,0.49289135262430306,5,0.695429339225555,g6,0.202537986601252
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_08,5,0.7489463052971286,5,0.13714624095449734,g6,-0.6118000643426312
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_09,5,0.5361709083116069,5,0.41675656216880885,g6,-0.119414346142798
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_10,5,0.07915610276711271,5,0.41655388320967257,g6,0.33739778044255986
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_11,5,0.003272399791354963,5,0.36579723221310145,g6,0.3625248324217465
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_12,5,0.05012541579864016,5,0.002321679503333507,g6,-0.047803736295306654
