geometry_key,metal,n_atoms,n_add,metal_index,no_bond_min_0,no_bond_max_0,ono_sum_0,n_oop_0,no_bond_min_1,no_bond_max_1,ono_sum_1,n_oop_1,min_H_to_nitrate_O,n_inner_O,lnn_max,lnn_min,binding_modes,n_inner_nitrate,rmsd_vs_control,n_donors,dLn_donor_max_delta,dij_donor_max_delta,adjacency_changed_pairs,cn_ligand_shipped,cn_ligand_control,cn_ligand_out,donors_displaced,displacement_allowance,neutral_force_max,neutral_converged,neutral_meets_target,neutral_downgraded,control_force_max,control_converged,control_meets_target,control_downgraded,reject_code,no_bond_min_2,no_bond_max_2,ono_sum_2,n_oop_2,cn_ligand_in,reject_detail
59|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|nitrate,Pr,226.0,3.0,0.0,1.2299016813977046,1.233065884137878,359.99556151323213,0.004754345908325075,1.2265368005627062,1.2348780836417166,359.9968847924389,0.003984132038118121,2.108145472842669,2.0,6.046399026736537,2.550146204428128,outer|outer|inner,1.0,2.113085064017753,9.0,0.22965779406991782,1.8153503964496847,0.0,9.0,9.0,9.0,0.0,2.0,0.01170530365544314,True,True,False,0.00686378778303253,True,True,False,accepted,1.2107741520021378,1.2360714500872778,359.85552679606496,0.02690284785004826,,
59|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,370.0,3.0,0.0,1.2130001106347819,1.23056471094664,359.70251442747866,0.03861283388629899,1.2293886619516354,1.2352413804671767,359.990599434963,0.00692187654286025,2.170976173077406,2.0,7.373144031620381,2.6993606775778063,inner|outer|outer,1.0,1.8625529377037409,9.0,0.48010641367200657,1.5069338541893846,0.0,9.0,9.0,8.0,1.0,2.0,0.0016921230697236308,True,True,False,0.009404640211534955,True,True,False,accepted,1.2254767919141591,1.2366198178567684,359.9864829640725,0.008301580309504723,,
59|CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,452.0,3.0,0.0,1.2296190231242041,1.2341267106670788,359.9999716418249,0.00038024890884030826,1.2294193815944177,1.2339784470278383,359.9999787033443,0.0003295322176183335,2.214868264662441,0.0,8.593656764607886,8.508376120616507,outer|outer|outer,0.0,0.4973928331679337,9.0,0.03908562200720134,0.0712439597478629,0.0,9.0,9.0,9.0,0.0,0.0,0.005049658434550168,True,True,False,0.006504622248169397,True,True,False,accepted,1.2296739895543174,1.2351103718238108,359.99846032523277,0.0028010036558031304,,
59|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,354.0,3.0,0.0,1.2317461480389327,1.232701025446504,359.99818186598077,0.003044979573658929,1.22826100318995,1.234828886241381,359.9982415008078,0.0029937963082183883,2.2796072969511942,0.0,9.447864613926596,6.861029406113285,outer|outer|outer,0.0,0.5376698980440308,9.0,0.05750528541231548,0.16784496741624944,0.0,9.0,9.0,9.0,0.0,0.0,0.0031799590211323055,True,True,False,0.008838559109187492,True,True,False,accepted,1.2316822331048034,1.2322205322257953,359.99998705422047,0.00025688489695663286,,
59|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,352.0,3.0,0.0,1.229964576115201,1.2336073466273532,359.968636434909,0.012647032738249799,1.223820905239984,1.2483093833652292,359.9998823362767,0.00077475632696139,2.254413516388609,1.0,8.21044668520719,3.9639267164760357,outer|inner|outer,1.0,1.198767737517247,9.0,0.25446839783955344,1.0092879030634347,0.0,9.0,9.0,9.0,0.0,2.0,0.0045851741348979045,True,True,False,0.002967989088878446,True,True,False,accepted,1.230319646547137,1.2346101530931826,359.99939584772335,0.0017553695722521967,,
59|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water,Pr,352.0,3.0,0.0,1.2209883555084562,1.2461149390876303,359.9977708872032,0.003367359264935005,1.2296241806543178,1.236592285769653,359.9955132093089,0.004782559604845027,2.3396113504746032,1.0,4.567142083092192,3.4453701352414217,inner|outer|outer,1.0,1.3491714027737762,9.0,0.2837929983236096,1.5063496410466182,0.0,9.0,9.0,9.0,0.0,2.0,0.013253972135670361,True,True,False,0.0028434616218654123,True,True,False,accepted,1.2295443879073915,1.2343887195553822,359.9949290293874,0.005083697021052991,,
59|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,256.0,3.0,0.0,1.2087400043505345,1.2276220860073384,359.9766462166152,0.010805380367299167,1.229650454447413,1.2360380757687675,359.9999850946966,0.0002756561416169534,2.1909712894251148,2.0,8.996241978223823,2.563696330290848,inner|outer|outer,1.0,1.8139220077595057,9.0,0.44655050438000554,1.2649462026990435,0.0,9.0,9.0,9.0,0.0,2.0,0.015168504919137724,True,True,False,0.005502527452348712,True,True,False,accepted,1.2312259671155488,1.2330881105867695,359.9999982961053,9.320859913728927e-05,,
59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,379.0,3.0,0.0,1.2315176201314528,1.2332203546329763,359.9969038933873,0.003973445093127803,1.229915897862063,1.235812733661424,359.9995038745452,0.0015902134430043346,2.1806587398485315,0.0,8.95105949504202,7.309049502822145,outer|outer|outer,0.0,0.8356013892219942,9.0,0.017658842069180114,0.06684873621229936,0.0,9.0,9.0,9.0,0.0,0.0,0.007787727683707596,True,True,False,0.0033504812889509714,True,True,False,accepted,1.2317462080515982,1.2322101817690967,359.998275131516,0.002965350412586977,,
59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,370.0,3.0,0.0,1.2122450182093925,1.2210497430081413,359.8189478410953,0.030025352304856312,1.2305928925303058,1.2341466119970268,359.99016899028425,0.007079856265193696,2.306082187914753,2.0,7.846819474190738,2.507767581619082,inner|outer|outer,1.0,1.664881902049897,9.0,0.6312999712129876,1.6091722581516001,0.0,9.0,9.0,8.0,1.0,2.0,0.010696068111631195,True,True,False,0.004297499806869206,True,True,False,accepted,1.2308951480938015,1.2337067423284502,359.99911248134345,0.0021272195411079498,,
59|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,Pr,406.0,3.0,0.0,1.2275766141775926,1.236146997591527,359.9996422578465,0.0013499177307319393,1.2274286252423314,1.2355223130893564,359.99655396652975,0.004190211307725011,2.105018313121103,0.0,7.180757680189405,6.598094226648656,outer|outer|outer,0.0,1.1985425445039608,9.0,0.10354563859388888,0.5618013360012388,0.0,9.0,9.0,9.0,0.0,0.0,0.011361517749084189,True,True,False,0.0039471452670734545,True,True,False,accepted,1.2280402068885214,1.2350109378885332,359.982684175746,0.009393537851044853,,
59|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1|nitrate,Pr,268.0,3.0,0.0,1.21277372802206,1.2256853824880891,359.8505757111497,0.0273215512191311,1.2112822685168254,1.2310846681301553,359.5940170526305,0.0451450346290897,2.2647578436285998,4.0,6.096550211799793,2.5630389656493597,inner|inner|outer,2.0,3.5306524175145793,9.0,2.309152594439678,3.089333094755245,,,,,,,,,,,,,,,LIGAND_MOVED,1.2310423971372004,1.232814717047699,359.9996569394301,0.001322595845150265,,
