config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
+ G5 xTB electronics,plus_g5,catboost,0.5213278219154032,0.7561339465391639,0.2987869264158888,0.3341494831114886,0.40686672217562014,0.6087947053514587,0.8853290212769002,0.031193487654597063,-0.002246373628329328,0.06439752175358542,0.94,0.03240257130201751,-0.005292249954239957,0.10299312790696795,0.9125,0.030047561167108383,-0.025527731969961567,0.05814308055437295,0.7775,-0.036644051278052814,-0.05685490017007862,0.0030344891350990956,0.07,-0.015543941607398915,-0.042748935299010395,0.010454788722933659,0.16
BEST +CN-free,plus_g15c,anchored:catboost,0.5203441633352831,0.7427476607142836,0.3095580369160825,0.3342101328299494,0.3828015445267958,0.6003426361536756,0.8944567163437783,0.030209829074477,-0.018243988278807254,0.07859148888938756,0.805,0.019016285477137185,-0.01735049643919079,0.08681699265420305,0.755,0.04081867166730202,-0.049766583544932796,0.08877575159527859,0.7,-0.036583401559591944,-0.05423167476994843,0.009363238716350319,0.09,-0.006416246540520754,-0.03711982216592008,0.03482339767618168,0.3975
+ shipped 3D blocks,plus_p3d_all,catboost,0.5197349136668168,0.7414508455007305,0.3096004374222586,0.3408357201621782,0.3915069039100678,0.5997972796887154,0.8907216814913861,0.029600579406010685,-0.0044311527776782515,0.06130375048823749,0.91,0.017719470263584114,-0.010302026406717674,0.06503675307174893,0.8675,0.04086107217347823,-0.01840039724434518,0.07067960246357365,0.835,-0.029957814227362878,-0.054641107802335706,0.00964265132475969,0.105,-0.010151281392912992,-0.03161572806932308,0.015152935572798015,0.235
anchored + CN-free,plus_g15c,anchored:catboost,0.5164188113497445,0.7415127441654389,0.30308278589224213,0.32514483127957106,0.3817565152522875,0.6083597288498795,0.8983185962595673,0.008404899230896379,-0.04169424894467666,0.04670990527611315,0.585,-0.006109561730540891,-0.056144431024195876,0.034714664934215454,0.3725,0.0221611892136494,-0.04647453511696029,0.05809294248128001,0.6775,-0.03128149662987678,-0.060814274748848984,0.0007779678260621516,0.055,0.012441600109906026,-0.018562596290935058,0.055608292487936695,0.755
+ CN-free & metal-free,cnfree_ligand,catboost,0.5122304263108182,0.7054499253373769,0.3291038557827397,0.32692043801612325,0.3757191483531285,0.6181756642866385,0.904581238926301,0.014414132584360084,-0.05127883179999847,0.07802826427125946,0.6025,-0.018281449899769653,-0.06479617340757407,0.05170467873984165,0.28,0.04540184304785477,-0.07074516895025784,0.11175779115991301,0.6425,-0.05063702308929163,-0.08725336994024085,-0.010661483339506133,0.0175,0.01529253046386403,-0.023992152199231127,0.07486717217906201,0.73
+ G5 & metal-free,g5_ligand,catboost,0.5113737575649564,0.7043757856962058,0.32845329821845315,0.3327523997526347,0.3804182643603641,0.6240115425835393,0.9043384054814361,0.021239423304150296,-0.05042199397456714,0.08822578853980063,0.6325,-0.019355589540940743,-0.07160514652621189,0.05384229959874915,0.3075,0.059713932969672756,-0.05774350293119888,0.12707452427339927,0.635,-0.038041134636906615,-0.08451240270967487,-0.010385668001807352,0.02,0.0034654425971369918,-0.03723982820317398,0.06535450827739375,0.6075
+ G15c CN-effect removed,plus_g15c,catboost,0.5099999161780706,0.741512744165439,0.29058029012492503,0.32554956144307856,0.3804496985535589,0.5944880012145046,0.8994317947370005,0.019865581917264508,-0.013187554394532768,0.05279137498558103,0.81,0.017781368928292407,-0.015615722043118284,0.0777106546880208,0.76,0.02184092487614453,-0.032720620952604744,0.051142595068970426,0.6775,-0.045243972946462874,-0.06495967873458926,-0.011588473691712743,0.03,-0.001441168147298555,-0.027661496165634503,0.023045461822549757,0.4675
BEST +CN-free & metal-free,cnfree_ligand,anchored:catboost,0.5046326010694835,0.7005108745835148,0.3189861386249505,0.32656136924244905,0.36041819651886553,0.6269482462182461,0.9146678718500779,0.014498266808677385,-0.05347974255672509,0.0764392966607222,0.6025,-0.02322050065363146,-0.07184652385020797,0.042231069700167705,0.245,0.05024677337617012,-0.06446998698158071,0.1152454937805986,0.6475,-0.04423216514709227,-0.079366649417501,-0.0011652377061686407,0.0425,0.01379490896577884,-0.026636883217883683,0.0688344616122906,0.7175
anchored + CN-free & metal-free,cnfree_ligand,anchored:catboost,0.5045484668451662,0.7054499253373769,0.31414120829663517,0.3201565113002498,0.363871132557533,0.6326315382532344,0.9161654933481631,0.014414132584360084,-0.05127883179999847,0.07802826427125946,0.6025,-0.018281449899769653,-0.06479617340757407,0.05170467873984165,0.28,0.04540184304785477,-0.07074516895025784,0.11175779115991301,0.6425,-0.05063702308929163,-0.08725336994024085,-0.010661483339506133,0.0175,0.01529253046386403,-0.023992152199231127,0.07486717217906201,0.73
BEST +G5 & metal-free,g5_ligand,anchored:catboost,0.5044005939452794,0.696947137173446,0.321911826993431,0.32955184094224854,0.3664212616213709,0.6219552655115637,0.9117517806671623,0.01426625968447326,-0.05547576266561339,0.08010082017017085,0.5775,-0.02678423806370056,-0.07545178684482284,0.043341324442866584,0.2525,0.05317246174465062,-0.06581707910987672,0.11955590899333762,0.65,-0.04124169344729278,-0.08506919600158235,-0.0014128496136924526,0.05,0.01087881778286326,-0.029360032375139015,0.06780987561343106,0.69
BEST +metal-free 3D,plus_g14c,anchored:catboost,0.502647772491833,0.6910830839900944,0.3240554847832118,0.33926743629331924,0.38338314623347225,0.6436417597363188,0.9152172751302814,0.012513438231026908,-0.052899817460013966,0.07233940176603255,0.5725,-0.03264829124705204,-0.07737380055298375,0.030223191862529437,0.1575,0.055316119534431385,-0.05947526796590739,0.12455696227837693,0.635,-0.0315260980962222,-0.07656118343436928,0.004298661796378913,0.0675,0.014344312245982316,-0.02162633616646779,0.07304345971402013,0.745
LightGBM delta + inner-sphere,inner_sphere,pairwise:lgbm,0.5022717339324474,0.7269231956295374,0.2893550668674256,0.3950262520705369,0.3909086170413797,0.589679683491664,0.9150198368321485,0.012137399671641291,-0.005604903752775541,0.026827572571182644,0.88,0.003191820392391187,-0.026702966274405316,0.03479215531179794,0.5925,0.020615701618645232,0.0003405285173372862,0.05123904305757351,0.95,0.02423271768099544,-0.0010696658024503406,0.07058470244912349,0.9325,0.014146873947849414,-0.009899697443528054,0.03309105850360687,0.85
LightGBM anchored + CN-free,plus_g15c,anchored:lgbm,0.4985392334917025,0.7176218135066055,0.2909005544624298,0.33951203775966454,0.34285098840945205,0.5562254087486236,0.9133145629942051,0.008404899230896379,-0.04169424894467666,0.04670990527611315,0.585,-0.006109561730540891,-0.056144431024195876,0.034714664934215454,0.3725,0.0221611892136494,-0.04647453511696029,0.05809294248128001,0.6775,-0.03128149662987678,-0.060814274748848984,0.0007779678260621516,0.055,0.012441600109906026,-0.018562596290935058,0.055608292487936695,0.755
+ G14c metal-free family means,plus_g14c,catboost,0.4981578562775172,0.6856843159027934,0.3204269460564494,0.3308652401001073,0.3948028087207832,0.6398321434779648,0.9160198332521348,0.008023522016711082,-0.06529150911022567,0.07283739571940907,0.5025,-0.03804705933435315,-0.08331100284835932,0.027161359927132776,0.135,0.05168758080766911,-0.0738685908303711,0.12573861353630789,0.625,-0.03992829428943401,-0.09188966639462888,-0.00785702705114587,0.0275,0.015146870367835685,-0.022812043315460617,0.07841935116777435,0.73
"baseline 2D, LightGBM",baseline_2d,lgbm,0.4901343342608061,0.7237313752371459,0.2687393652487804,0.37079353438954143,0.4384141332845146,0.604946806358227,0.9008729628842991,,,,,,,,,,,,,,,,,,,,
+ all 3D (dilution control),all_3d,catboost,0.4867642307147917,0.7087726503829127,0.276352544901482,0.3018193764476088,0.33511438311107766,0.5876253581479322,0.9302091791011536,-0.0033701035460144135,-0.06043464120790164,0.04725079715321536,0.3975,-0.014958724854233885,-0.06585945693903779,0.06717546229687174,0.34,0.007613179652701585,-0.08268698843638762,0.056001012563923015,0.51,-0.06897415794193251,-0.0891423518406363,-0.024287048829642582,0.0075,0.02933621621685456,-0.010650222072891178,0.08426250703695302,0.8775
LightGBM + metal-free 3D,plus_g14c,lgbm,0.4840668173113035,0.6502565267274865,0.32655812022964803,0.3812394209745653,0.41732932923204547,0.6489839576648273,0.9278818642817916,-0.006067516949502583,-0.07983439041898466,0.053924030634746684,0.3775,-0.0734748485096598,-0.13980196311069082,-0.03266594885005625,0.005,0.05781875498086775,-0.04143107545835751,0.11354178042881011,0.6525,0.010445886585023989,-0.03207438864433695,0.03491352766567543,0.7025,0.02700890139749257,-0.015274753616727782,0.0919431790631517,0.845
+ metal-free 3D only,ligand3d_only,catboost,0.47712514622649016,0.6549992387968402,0.3085424062737032,0.3380424232575838,0.3825521076372669,0.6503482730881881,0.9354080390762903,-0.013009188034315944,-0.09685707994363592,0.0568032807866163,0.33,-0.06873213644030607,-0.13724409069544272,0.01917113136657273,0.0975,0.039803041024922825,-0.07850497039747603,0.10694587465912997,0.625,-0.0327511111319575,-0.07206014813585322,-0.0032741447923193947,0.0425,0.034535076191991254,-0.010709600173597244,0.10748426578270283,0.87
+ G13c metal-free family slopes,plus_g13c,catboost,0.4768648350712358,0.6641756231352558,0.2993383306869095,0.3420755955417907,0.3975775793586501,0.6454125232530201,0.9302987034037352,-0.013269499189570322,-0.08203939219233415,0.04896107048085388,0.345,-0.05955575210189057,-0.11576577495027811,0.027158546341266215,0.1325,0.030598965438129122,-0.05551009051721435,0.07839639705583276,0.6325,-0.028717938847750646,-0.05873670734544821,0.005712504560755176,0.09,0.02942574051943614,-0.011414896859488299,0.09018914379151953,0.895
