key,resolution,spread,hi,weight,channels,spread_px,n_seeds,adj_r2,err_corr,stack_adj,stack_overall,tune_gain,stack_weight,stack_weight_frac,is_anchor,used
2d02ab88ee0f4f8d,96,0.02106,4.0,linear,split,0.5001749999999999,8,0.14734576116582165,0.9526907874746765,0.24509094879376114,0.5856501241194646,-0.002241691362611986,0.0011904761904761888,0.011904761904761904,False,False
83613840313f19d8,96,0.03158,6.0,arctan,split,0.5000166666666667,8,0.14695081871312143,0.9558290534501659,0.245036979592008,0.5874023019347512,-0.002295660564365143,0.0011904761904761888,0.011904761904761904,False,False
f2afd0a6e32b45da,96,0.02616,4.97,arctan,sum,0.5000402414486922,8,0.14566940837979392,0.9628795504311514,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
1eb63fa67cafdf4a,96,0.02106,4.0,arctan,split,0.5001749999999999,8,0.141992129705785,0.947136522896029,0.2444779434747093,0.5863463923588894,-0.0028546966816638264,0.0011904761904761888,0.011904761904761904,False,False
e98df95a2d38460c,96,0.02106,4.0,squared,split,0.5001749999999999,8,0.14091151904391175,0.9349769332671218,0.2449087483720821,0.5869080433761866,-0.0024238917842910324,0.0011904761904761888,0.011904761904761904,False,False
dc6a0a752e2ba93c,96,0.02106,4.0,squared,sum,0.5001749999999999,8,0.13756017802138687,0.9456717393035274,0.2447308341929174,0.5850604906048351,-0.0026018059634557167,0.0011904761904761888,0.011904761904761904,False,False
84627668552dc525,96,0.02616,4.97,linear,split,0.5000402414486922,8,0.1331466090847775,0.9578225427182341,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
63ff5411cfa8bf3e,96,0.03158,6.0,arctan,sum,0.5000166666666667,8,0.13214455972523653,0.9581300032347566,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
246ded740a8f52c4,96,0.02616,4.97,squared,split,0.5000402414486922,8,0.13194078150777078,0.9504460680222215,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
3db6510910ba3f5f,96,0.02616,4.97,linear,sum,0.5000402414486922,8,0.12762907152905456,0.9591030350342895,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
02097bd18ba4c58b,96,0.01316,2.5,squared,split,0.50008,8,0.1265547232018206,0.9529594630050238,0.2445092656734562,0.5857612166075933,-0.0028233744829169183,0.0023809523809523777,0.023809523809523808,False,False
