family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Tm,Yb,13,1,1,2,0.013857766000284703,-0.010705186713562131,-0.009000000000000008,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Yb,Lu,14,1,2,3,0.009326454767410897,-0.00034786972411149364,-0.008000000000000007,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||9||2||1||nitrate,La,Ce,1,1,-3,-2,0.036972754520602426,-0.022910693843376517,-0.016999999999999904,9,9,340
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water||8||2||0||water,Ho,Er,11,1,-1,0,0.020857395948109845,-0.005702703415622512,-0.010999999999999899,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water||8||2||0||water,Er,Tm,12,1,0,1,0.027936519553370658,-0.0067011953748128406,-0.010000000000000009,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water||8||2||0||water,Tm,Yb,13,1,1,2,0.3626336025321874,-0.026830579298802615,-0.009000000000000008,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water||8||2||0||water,Yb,Lu,14,1,2,3,0.08107971428380299,-0.00017045652591463067,-0.008000000000000007,8,8,337
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||8||2||2||nitrate,Tb,Dy,9,1,0,1,0.015731060792978188,-0.004902840609718684,-0.013000000000000123,9,9,291
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||8||2||2||nitrate,Er,Tm,12,1,-1,0,0.031379914705564324,-0.010159574842159014,-0.010000000000000009,9,9,231
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||8||2||2||nitrate,Tm,Yb,13,1,0,1,0.027616719254362616,-0.0028268176706296444,-0.009000000000000008,9,9,231
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||8||2||2||nitrate,Yb,Lu,14,1,1,2,0.035010822741668404,-0.01595484126092117,-0.008000000000000007,9,9,231
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||9||3||0||nitrate,La,Ce,1,1,-2,-1,0.06105598018363615,-0.012850720028961593,-0.016999999999999904,9,9,340
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||9||3||0||nitrate,Ce,Pr,2,1,-1,0,0.02206183178851067,-0.009245291827411517,-0.017000000000000126,9,9,340
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate||9||3||0||nitrate,Eu,Gd,7,1,4,5,0.010889720328179902,-0.003300765403561279,-0.013000000000000123,9,9,340
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||water||8||2||2||water,Dy,Ho,10,1,-1,0,0.008325372354894906,-0.007398750669956211,-0.01200000000000001,8,8,233
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||water||8||2||2||water,Ho,Er,11,1,0,1,0.006261553384440819,-0.00660805512956264,-0.010999999999999899,8,8,233
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||8||2||2||nitrate,Er,Tm,12,1,0,1,0.022775295784421102,-0.005674759458389467,-0.010000000000000009,9,9,297
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||9||3||0||nitrate,La,Ce,1,1,-2,-1,0.06312540038934353,-0.014357131319403749,-0.016999999999999904,9,9,439
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||9||3||0||nitrate,Ce,Pr,2,1,-1,0,0.019008301023500845,-0.008690553338332574,-0.017000000000000126,9,9,439
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||9||3||0||nitrate,Pr,Nd,3,1,0,1,0.0018592545744202035,-0.0017515651943580401,-0.016999999999999904,9,9,439
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||9||3||0||nitrate,La,Ce,1,1,-3,-2,0.021447399370821168,-0.007856200910287825,-0.016999999999999904,9,9,466
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate||9||3||0||nitrate,Eu,Gd,7,1,3,4,0.0030421602306974368,-0.002897085064077487,-0.013000000000000123,9,9,466
