metal_dir,file_stem,xyz_path,mol2_path,has_mol2,file_size_xyz,file_size_mol2,metal_symbol,atomic_number,oxidation_state,coreCN,n_ligs,inner_sphere_anion,geometry_hash,parsed_name_ok
La,La_Z57_ox3_CN9_nlig3_nitrate_252cfb0c7415,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_252cfb0c7415.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_252cfb0c7415.mol2,True,56082,34806,La,57,3,9,3,nitrate,252cfb0c7415,True
La,La_Z57_ox3_CN9_nlig3_nitrate_2b60ae62875a,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_2b60ae62875a.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_2b60ae62875a.mol2,True,20514,13062,La,57,3,9,3,nitrate,2b60ae62875a,True
La,La_Z57_ox3_CN9_nlig3_nitrate_30f5b0a8fc33,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_30f5b0a8fc33.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_30f5b0a8fc33.mol2,True,32215,20118,La,57,3,9,3,nitrate,30f5b0a8fc33,True
La,La_Z57_ox3_CN9_nlig3_nitrate_38bcdcf8e36e,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_38bcdcf8e36e.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_38bcdcf8e36e.mol2,True,57488,35670,La,57,3,9,3,nitrate,38bcdcf8e36e,True
La,La_Z57_ox3_CN9_nlig3_nitrate_3982ef27bf6b,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_3982ef27bf6b.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_3982ef27bf6b.mol2,True,27066,17166,La,57,3,9,3,nitrate,3982ef27bf6b,True
La,La_Z57_ox3_CN9_nlig3_nitrate_3ebeca6a53a4,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_3ebeca6a53a4.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_3ebeca6a53a4.mol2,True,19578,12342,La,57,3,9,3,nitrate,3ebeca6a53a4,True
La,La_Z57_ox3_CN9_nlig3_nitrate_466343586002,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_466343586002.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_466343586002.mol2,True,29871,18963,La,57,3,9,3,nitrate,466343586002,True
La,La_Z57_ox3_CN9_nlig3_nitrate_4bb9a121aefd,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_4bb9a121aefd.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_4bb9a121aefd.mol2,True,13965,8886,La,57,3,9,3,nitrate,4bb9a121aefd,True
La,La_Z57_ox3_CN9_nlig3_nitrate_692b00900b58,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_692b00900b58.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_692b00900b58.mol2,True,25193,15798,La,57,3,9,3,nitrate,692b00900b58,True
La,La_Z57_ox3_CN9_nlig3_nitrate_86932934bc2b,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_86932934bc2b.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_86932934bc2b.mol2,True,30809,19254,La,57,3,9,3,nitrate,86932934bc2b,True
